217,117,75,0
207,105,57,0
215,108,57,0
245,164,129,0
220,150,127,0
210,126,91,0
217,111,64,0
211,113,67,0
212,128,93,0
237,194,173,0
231,151,122,0
212,121,82,0
236,154,119,0
246,169,143,0
244,176,153,0
222,122,80,0
210,128,97,0
211,120,81,0
231,142,105,0
215,121,85,0
202,106,52,0
216,116,74,0
221,113,65,0
219,112,68,0
214,106,52,0
245,171,137,0
217,114,69,0
213,115,69,0
207,114,69,0
222,138,102,0
113,110,106,1
130,127,123,1
167,162,161,1
57,48,45,1
43,34,31,1
57,55,61,1
48,39,42,1
86,81,82,1
32,27,28,1
39,27,27,1
154,152,152,1
65,59,60,1
163,158,155,1
62,56,57,1
43,33,39,1
42,30,28,1
49,37,37,1
67,64,60,1
76,70,71,1
63,58,60,1
47,33,34,1
75,67,67,1
172,168,167,1
150,142,142,1
63,53,53,1
171,169,168,1
178,179,177,1
140,140,140,1
143,140,142,1
45,42,44,1
21,205,235,2
17,203,233,2
64,222,238,2
74,230,243,2
36,209,235,2
7,175,216,2
53,227,239,2
59,226,235,2
72,230,236,2
86,238,243,2
167,245,251,2
156,246,253,2
51,227,244,2
66,224,238,2
78,233,249,2
92,226,238,2
57,221,240,2
34,180,215,2
104,235,245,2
162,249,251,2
63,222,242,2
59,214,240,2
67,201,231,2
95,232,241,2
160,244,249,2
171,247,253,2
160,247,251,2
120,238,249,2
140,247,251,2
159,245,251,2
33,37,249,3
36,40,248,3
37,49,239,3
18,27,245,3
100,101,215,3
142,144,255,3
19,27,250,3
49,47,231,3
75,87,243,3
22,33,247,3
22,33,245,3
135,138,255,3
164,164,248,3
94,94,208,3
51,51,255,3
40,48,232,3
63,63,255,3
74,71,255,3
39,46,250,3
18,31,247,3
21,32,246,3
52,53,251,3
29,33,252,3
20,34,246,3
24,33,250,3
87,84,237,3
146,149,254,3
88,87,227,3
160,149,255,3
28,39,243,3
237,237,237,4
116,117,127,4
151,154,152,4
189,194,192,4
227,229,229,4
180,175,172,4
206,207,205,4
249,249,249,4
242,242,242,4
241,246,245,4
200,202,202,4
255,254,255,4
179,178,180,4
207,202,201,4
187,189,190,4
220,219,221,4
222,221,223,4
133,135,136,4
228,227,229,4
185,190,189,4
126,132,127,4
161,162,158,4
189,188,190,4
179,178,180,4
173,177,178,4
143,140,149,4
144,143,152,4
168,169,167,4
247,246,250,4
249,245,251,4
122,202,49,5
142,216,68,5
132,209,57,5
137,220,64,5
120,201,45,5
98,180,14,5
109,186,29,5
122,208,44,5
126,207,56,5
115,199,40,5
119,191,41,5
125,211,45,5
177,235,116,5
107,191,12,5
105,181,19,5
134,204,60,5
129,203,61,5
141,218,61,5
179,240,112,5
178,230,112,5
149,223,73,5
128,208,49,5
122,201,28,5
111,193,20,5
101,178,20,5
150,212,88,5
150,215,86,5
142,220,72,5
101,166,33,5
107,181,25,5
180,237,115,6
255,255,255,6
255,255,255,6
255,255,255,6
255,255,255,6
255,255,255,6
255,255,255,6
255,255,255,6
255,255,255,6
255,255,255,6
255,255,255,6
255,255,255,6
255,255,255,6
255,255,255,6
255,255,255,6
255,255,255,6
255,255,255,6
255,255,255,6
255,255,255,6
255,255,255,6
255,255,255,6
255,255,255,6
255,255,255,6
255,255,255,6
255,255,255,6
255,255,255,6
255,255,255,6
255,255,255,6
255,255,255,6
255,255,255,6
